time/fps,reward/info_exist_reward,reward/grasp_reward,train/std,reward/static_reward,time/total_timesteps,rollout/success_rate,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,reward/goal_reward,time/time_elapsed,reward/approach_reward,train/actor_target_loss,train/ent_coef_loss,train/critic_aux_loss,train/actor_aux_loss,train/actor_loss,train/target_weight,train/ent_coef,train/aux_weight,train/learning_rate,train/critic_loss,train/n_updates,train/critic_target_loss
45,0.0,0.0,0.025892196223139763,0.0,13600,0.0,100.0,132,206.43303,0.0,297,2.5487700129867594,0.09377038199454546,-12.932314738631248,0.29566771630197763,0.22105340845882893,16.939116671681404,100.0,0.13007095223292708,100.0,0.0003,39.34795552492142,1600,0.0933893834007904
45,,,0.025892196223139763,,13600,0.0,100.0,136,206.43303,,297,,,,,,,,,,,,,
45,0.0,0.0,0.02592591755092144,0.0,14400,0.0,100.0,140,201.78969,0.0,319,2.443298694834614,0.09168866882100701,-14.263775944709778,0.2958626919426024,0.22216869168914855,15.848120614886284,100.0,0.12544727139174938,100.0,0.0003,39.56863582134247,1728,0.09423223987687379
45,,,0.02592591755092144,,14400,0.0,100.0,144,201.78969,,319,,,,,,,,,,,,,
45,0.21,0.0,0.025941820815205574,0.0,15200,0.0,100.0,148,201.03133,0.0,331,2.8729597559685716,0.0909486577147618,-13.921529337763786,0.29961503436788917,0.217454272788018,14.879733681678772,100.0,0.12313554319553077,100.0,0.0003,40.129619896411896,1792,0.09545464010443538
45,,,0.025941820815205574,,15200,0.0,100.0,152,201.03133,,331,,,,,,,,,,,,,
45,1.05,0.0,0.025975672528147697,0.0,16000,0.0,100.0,156,202.60275,0.0,354,2.756619526800659,0.0890518669039011,-13.665040835738182,0.28963871905580163,0.2152165488805622,13.480567872524261,100.0,0.11876946408301592,100.0,0.0003,39.26602894067764,1920,0.09638907737098634
45,,,0.025975672528147697,,16000,0.0,100.0,160,202.60275,,354,,,,,,,,,,,,,
45,0.36,0.0,0.025992192327976227,0.0,16800,0.0,100.0,164,200.91147,0.0,366,2.4919168590092533,0.08534786745440215,-14.738891780376434,0.28620014898478985,0.20835759537294507,11.724716663360596,100.0,0.11662524298299104,100.0,0.0003,38.705387234687805,1984,0.09377765050157905
45,,,0.025992192327976227,,16800,0.0,100.0,168,200.91147,,366,,,,,,,,,,,,,
