time/episodes,rollout/ep_rew_mean,rollout/success_rate,rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,train/std,train/actor_loss,train/critic_loss,train/learning_rate,train/n_updates,train/ent_coef_loss,train/ent_coef
132,208.56754,0.0,100.0,78,169,13200,0.025613553822040558,-35.32710552215576,3.6161505803465843,0.0003,3104,-26.51161801815033,0.07894769171252847
136,212.20206,0.0,100.0,77,174,13600,0.02561606839299202,-36.125723123550415,3.9879811629652977,0.0003,3200,-26.632681488990784,0.07682958571240306
140,214.10637,0.0,100.0,77,179,14000,0.025621427223086357,-37.5087833404541,3.3443290069699287,0.0003,3296,-25.507187724113464,0.07477688696235418
144,214.75586,0.0,100.0,77,185,14400,0.025621779263019562,-39.393218994140625,3.2160585671663284,0.0003,3392,-25.634079933166504,0.07282402133569121
148,214.33377,0.0,100.0,77,190,14800,0.025624876841902733,-40.24131178855896,3.5558194369077682,0.0003,3504,-24.48585879802704,0.07062112540006638
152,214.51694,0.0,100.0,77,195,15200,0.025628549978137016,-40.62254595756531,3.566437140107155,0.0003,3600,-24.49792242050171,0.06880155578255653
156,215.16136,0.0,100.0,77,200,15600,0.025629056617617607,-41.2959303855896,3.1718554720282555,0.0003,3696,-24.90807580947876,0.06708288658410311
160,216.08244,0.0,100.0,77,206,16000,0.025633325800299644,-42.03578186035156,3.833636924624443,0.0003,3792,-25.023336052894592,0.06535810558125377
164,218.92804,0.0,100.0,77,211,16400,0.025634510442614555,-43.04799509048462,3.535692311823368,0.0003,3904,-26.780396342277527,0.06337501062080264
168,221.54156,0.0,100.0,77,217,16800,0.025637658312916756,-43.771865129470825,3.6753319650888443,0.0003,4000,-26.59231662750244,0.06173696438781917
172,224.04527,0.0,100.0,77,222,17200,0.025639306753873825,-45.013838052749634,4.105242446064949,0.0003,4096,-26.32096290588379,0.06012113834731281
176,224.41705,0.0,100.0,77,227,17600,0.025639168918132782,-45.91627287864685,4.801517024636269,0.0003,4192,-25.01101851463318,0.05856300378218293
180,225.93883,0.0,100.0,77,233,18000,0.025641631335020065,-46.68634295463562,4.979345321655273,0.0003,4304,-24.73805332183838,0.05682852561585605
184,230.51485,0.0,100.0,77,238,18400,0.025643911212682724,-47.62924766540527,4.5013880133628845,0.0003,4400,-26.311928153038025,0.05536238616332412
188,233.09586,0.0,100.0,77,243,18800,0.025647135451436043,-48.58435678482056,3.637011766433716,0.0003,4496,-26.006508946418762,0.053911286406219006
192,236.51933,0.0,100.0,77,249,19200,0.025647897273302078,-49.48797559738159,4.37261338531971,0.0003,4592,-25.095768809318542,0.05250220443122089
196,238.80766,0.0,100.0,76,255,19600,0.02565082162618637,-50.6163444519043,3.844887614250183,0.0003,4704,-26.377195954322815,0.050950659438967705
200,241.34555,0.0,100.0,76,260,20000,0.025651821866631508,-51.31996941566467,4.742436319589615,0.0003,4800,-25.79755437374115,0.04964078823104501
204,243.2241,0.0,100.0,76,265,20400,0.025653112679719925,-52.7601478099823,5.251568526029587,0.0003,4896,-24.725221753120422,0.04841009667143226
