success_terminal,grasp_without_lift,slipped_after_lift,grasp_loss,late_success_timing,stable_then_dropped,peak_height
True,False,False,False,48,False,0.3280787169933319
False,False,False,False,-1,False,0.1250143200159073
True,False,False,False,51,False,0.35661640763282776
False,True,False,True,-1,True,0.22296831011772156
True,False,False,True,69,True,0.3592836856842041
False,False,True,True,-1,True,0.34253692626953125
False,False,True,True,-1,True,0.423006147146225
True,False,False,True,67,True,0.395712286233902
True,False,False,False,50,False,0.3311086893081665
True,False,False,False,51,False,0.4483427405357361
True,False,False,True,93,True,0.347359836101532
True,False,False,True,64,True,0.38369020819664
False,True,False,True,-1,True,0.1547519713640213
False,True,False,True,-1,True,0.17845778167247772
