rollout/ep_rew_mean,time/total_timesteps,time/fps,reward/static_reward,reward/info_exist_reward,time/time_elapsed,rollout/success_rate,reward/grasp_reward,train/std,reward/approach_reward,rollout/ep_len_mean,reward/goal_reward,time/episodes,rollout/success_rate_once,train/n_updates,train/actor_loss,train/critic_loss,train/aux_weight,train/learning_rate,train/critic_aux_loss,train/actor_aux_loss,train/ent_coef_loss,train/actor_target_loss,train/critic_target_loss,train/target_weight,train/ent_coef
301.65085,1263200,41,0.0,0.3,30469,0.2,0.27,0.1408849060535431,3.3683268070490646,100.0,0.07408754811055601,12628,0.31,157824,-162.1670846939087,65.4304369688034,28.00546374766822,0.0003,0.29061326710507274,0.08925702807027847,-0.5770532267633826,0.011487005576782394,0.1018642969429493,28.00546374766822,0.03799567394889891
301.65085,1263200,41,,,30469,0.2,,0.1408849060535431,,100.0,,12632,,,,,,,,,,,,,
302.0338,1264000,41,0.0,0.22799999999999998,30484,0.22,0.24,0.14085981249809265,3.9265287707297922,100.0,0.10528884376965317,12636,0.32,157888,-161.80014562606812,62.7589026093483,28.00546374766822,0.0003,0.2876039035618305,0.08883851591963321,-0.020376827334985137,0.01213151451520389,0.10270116059109569,28.00546374766822,0.037932627892587334
302.0338,1264000,41,,,30484,0.22,,0.14085981249809265,,100.0,,12640,,,,,,,,,,,,,
303.903,1264800,41,0.0,0.264,30507,0.23,0.03,0.14083842933177948,2.3813060851034766,100.0,0.011525617275215387,12644,0.33,158016,-162.4628586769104,64.88598811626434,28.00546374766822,0.0003,0.2852948452346027,0.08675391343422234,-0.314044545404613,0.012323301103606354,0.10277015750762075,28.00546374766822,0.037820553116034716
303.903,1264800,41,,,30507,0.23,,0.14083842933177948,,100.0,,12648,,,,,,,,,,,,,
306.45963,1265600,41,0.0,0.26099999999999995,30521,0.23,0.39,0.1408013105392456,3.520580723464282,100.0,0.22357783325234706,12652,0.34,158080,-161.98675870895386,63.51551687717438,28.00546374766822,0.0003,0.28891358990222216,0.08814254321623594,-0.8493981705978513,0.013849668357579503,0.10309779597446322,28.00546374766822,0.037676802137866616
306.45963,1265600,41,,,30521,0.23,,0.1408013105392456,,100.0,,12656,,,,,,,,,,,,,
305.95737,1266400,41,0.0,0.3,30544,0.23,0.39,0.14071695506572723,3.38117804464908,100.0,0.2375084720158455,12660,0.33,158208,-162.3085916042328,68.5051121711731,28.00546374766822,0.0003,0.2848491119220853,0.0870340276742354,-0.5902671876829118,0.012524524616310373,0.10079973319079727,28.00546374766822,0.037249443761538714
305.95737,1266400,41,,,30544,0.23,,0.14071695506572723,,100.0,,12664,,,,,,,,,,,,,
