#{"t_start": 1788620294.0384748, "env_id": null}
r,l,t
263.45468,100,60389.446292
464.53796,100,60389.446309
293.1264,100,60389.446326
258.49,100,60389.446342
272.03516,100,60389.446358
265.1706,100,60402.732244
230.58966,100,60402.73232
245.66516,100,60402.732332
193.58246,100,60402.732342
120.83302,100,60402.73235
229.22852,100,60402.732359
251.99898,100,60402.732368
236.55441,100,60402.732376
263.11035,100,60426.445091
547.5144,100,60426.445163
151.16597,100,60426.445176
382.02756,100,60426.445185
371.08667,100,60426.445194
226.76875,100,60426.445203
599.10443,100,60426.445212
227.7988,100,60426.44522
544.81604,100,60440.048678
159.13,100,60440.048752
221.63922,100,60440.048764
197.74503,100,60440.048773
248.2696,100,60440.048782
374.63177,100,60440.048791
248.77386,100,60440.048799
177.3462,100,60440.048808
283.8294,100,60462.770549
231.1591,100,60462.770645
248.57281,100,60462.770668
220.98987,100,60462.770686
227.82866,100,60462.770703
160.85464,100,60462.770721
239.23732,100,60462.770739
210.7892,100,60462.770756
226.38333,100,60485.763027
242.50906,100,60485.763128
216.39786,100,60485.76315
369.1078,100,60485.763168
205.04485,100,60485.763184
256.08932,100,60485.763201
473.19226,100,60485.763217
227.5909,100,60485.763233
234.29045,100,60498.562364
249.92966,100,60498.562455
253.06706,100,60498.562478
240.08562,100,60498.562496
207.67886,100,60498.562513
228.81279,100,60498.562529
277.37286,100,60498.562545
254.78911,100,60498.562561
138.38666,100,60521.953228
281.38824,100,60521.953316
257.81415,100,60521.953337
213.79541,100,60521.953354
327.05066,100,60521.953368
459.609,100,60521.953383
370.13678,100,60521.953399
263.73706,100,60521.953413
213.57127,100,60534.978701
411.91373,100,60534.978794
200.34975,100,60534.978819
246.11246,100,60534.978837
400.29404,100,60534.978855
464.89313,100,60534.97887
203.79706,100,60534.978886
251.98412,100,60534.978901
207.03294,100,60558.561758
271.21866,100,60558.561851
437.0201,100,60558.561874
235.37619,100,60558.561891
460.32117,100,60558.561908
292.27548,100,60558.561924
551.8348,100,60558.56194
442.61942,100,60558.561956
200.17735,100,60571.861384
582.35645,100,60571.861462
280.8955,100,60571.861474
261.3266,100,60571.861483
448.29462,100,60571.861491
553.2965,100,60571.8615
316.09912,100,60571.861508
496.85583,100,60571.861516
176.39343,100,60594.682786
237.36362,100,60594.682881
181.47153,100,60594.682904
257.6023,100,60594.682921
197.86745,100,60594.682938
239.7676,100,60594.682955
204.29536,100,60594.682971
216.42387,100,60594.682987
455.5303,100,60608.451643
270.29477,100,60608.451719
210.98868,100,60608.451731
506.89648,100,60608.45174
478.83566,100,60608.451749
372.76685,100,60608.451757
271.9481,100,60608.451765
292.4666,100,60608.451773
483.97363,100,60631.586826
496.2341,100,60631.586901
248.7608,100,60631.586913
198.32278,100,60631.586922
178.31335,100,60631.586931
241.37479,100,60631.586939
242.95251,100,60631.586947
218.32677,100,60631.586956
505.29895,100,60655.22252
272.8588,100,60655.22261
273.05185,100,60655.222634
493.89352,100,60655.222652
233.45718,100,60655.222669
206.98758,100,60655.222685
261.3806,100,60655.222702
220.4604,100,60655.222718
488.61862,100,60669.107416
231.30156,100,60669.107508
238.50543,100,60669.10753
338.88318,100,60669.107548
291.9156,100,60669.107565
507.91434,100,60669.107582
231.29953,100,60669.107598
414.80115,100,60669.107614
440.28687,100,60692.967785
199.37816,100,60692.967871
222.0775,100,60692.967883
414.56006,100,60692.967893
246.04938,100,60692.967901
227.41849,100,60692.96791
218.67194,100,60692.967919
233.21039,100,60692.967927
226.29378,100,60705.933628
207.91751,100,60705.933703
440.20807,100,60705.933715
262.3095,100,60705.933724
205.6117,100,60705.933733
192.00688,100,60705.933741
191.96124,100,60705.93375
464.47882,100,60705.933758
330.9557,100,60728.44133
212.72832,100,60728.441403
189.03864,100,60728.441416
137.85825,100,60728.441425
190.99179,100,60728.441434
239.62749,100,60728.441442
202.49939,100,60728.44145
244.59479,100,60728.441459
234.06284,100,60742.660916
279.15356,100,60742.661008
341.68536,100,60742.661028
154.87057,100,60742.661057
189.85481,100,60742.661073
511.51517,100,60742.661088
290.34036,100,60742.661102
227.3351,100,60742.661117
237.80968,100,60765.441813
259.72177,100,60765.441884
262.34268,100,60765.441896
246.49243,100,60765.441905
222.8197,100,60765.441914
336.14017,100,60765.441923
244.26198,100,60765.441931
308.64716,100,60765.441939
517.249,100,60788.459665
