success_terminal,grasp_without_lift,slipped_after_lift,grasp_loss,late_success_timing,stable_then_dropped,peak_height
False,True,False,True,-1,True,0.1555875688791275
False,False,False,False,-1,False,0.12214197963476181
False,True,False,True,-1,True,0.12942209839820862
False,True,False,True,-1,True,0.18613344430923462
False,True,False,True,-1,True,0.21503886580467224
True,False,False,True,72,True,0.5242196917533875
False,False,False,False,-1,False,0.12214867025613785
False,False,True,True,-1,True,0.34750673174858093
False,False,False,False,-1,False,0.12222870439291
True,False,False,False,51,False,0.3673994541168213
True,False,False,True,77,True,0.3991037607192993
False,False,False,False,-1,False,0.1306203007698059
False,False,False,False,-1,False,0.1306203007698059
False,True,False,True,-1,True,0.22815702855587006
False,True,False,True,-1,True,0.170211523771286
False,False,False,False,-1,False,0.13346435129642487
False,False,False,False,-1,False,0.13062037527561188
True,False,False,True,80,True,0.33927738666534424
True,False,False,False,75,False,0.27051398158073425
False,True,False,True,-1,True,0.17385873198509216
False,True,False,True,-1,True,0.19336311519145966
False,True,False,True,-1,True,0.1490916609764099
False,False,False,False,-1,False,0.1306203305721283
False,True,False,True,-1,True,0.2307817041873932
True,False,False,False,54,False,0.40548333525657654
False,True,False,True,-1,True,0.1343814581632614
False,True,False,False,-1,False,0.15152382850646973
False,False,False,False,-1,False,0.13062036037445068
False,True,False,False,-1,False,0.1798819899559021
True,False,False,True,62,True,0.42534661293029785
True,False,False,False,47,False,0.4136483371257782
False,False,True,True,-1,True,0.5159969329833984
False,False,False,False,-1,False,0.12501437962055206
False,True,False,False,-1,False,0.18222634494304657
False,False,False,False,-1,False,0.12501439452171326
False,True,False,True,-1,True,0.134038507938385
True,False,False,False,67,False,0.36475345492362976
True,False,False,False,56,False,0.47001874446868896
False,True,False,True,-1,True,0.12501437962055206
True,False,False,False,76,False,0.4017734229564667
True,False,False,False,62,False,0.3619384765625
True,False,False,False,65,False,0.37352603673934937
True,False,False,False,43,False,0.4332844913005829
False,False,False,False,-1,False,0.12501434981822968
True,False,False,True,94,True,0.3333669900894165
False,False,True,True,-1,True,0.4698083698749542
False,False,False,False,-1,False,0.12501434981822968
False,False,False,False,-1,False,0.12501439452171326
False,True,False,True,-1,False,0.24938102066516876
False,True,False,True,-1,True,0.2341540902853012
