time/episodes,reward/goal_reward,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,reward/info_exist_reward,time/fps,reward/grasp_reward,reward/static_reward,train/std,time/total_timesteps,rollout/success_rate,reward/approach_reward,train/aux_weight,train/actor_aux_loss,train/target_weight,train/n_updates,train/critic_aux_loss,train/critic_loss,train/learning_rate,train/ent_coef,train/actor_target_loss,train/ent_coef_loss,train/critic_target_loss,train/actor_loss
340,0.0,145.62831,100.0,768,0.03599999999999999,44,0.0,0.0,0.02656642533838749,34400,0.0,2.3665201710150385,98.0,0.1695235997904092,98.0,4224,0.248023203574121,31.7361501455307,0.0003,0.060327504645101726,0.036222314287442714,-20.04042784869671,0.07320195052307099,-3.892341263592243
344,,145.62831,100.0,768,,44,,,0.02656642533838749,34400,0.0,,,,,,,,,,,,,
348,0.0,147.27116,100.0,781,0.147,45,0.0,0.0,0.026582995429635048,35200,0.0,3.08115562663234,98.0,0.16895584482699633,98.0,4288,0.24658507434651256,31.365729242563248,0.0003,0.05919336492661387,0.03445557222585194,-18.893006518483162,0.07130149099975824,-4.340023875236511
352,,147.27116,100.0,781,,45,,,0.026582995429635048,35200,0.0,,,,,,,,,,,,,
356,0.0,146.80582,100.0,803,0.10799999999999998,44,0.0,0.0,0.026614423841238022,36000,0.0,2.5356549902251704,98.0,0.16638608579523861,98.0,4416,0.24618836934678257,31.26653191447258,0.0003,0.05705522350035608,0.03535638138419017,-18.76590059697628,0.07051337219309062,-5.141929928213358
360,,146.80582,100.0,803,,44,,,0.026614423841238022,36000,0.0,,,,,,,,,,,,,
364,0.0,146.07417,100.0,816,0.0,45,0.0,0.0,0.02663218230009079,36800,0.0,2.6999543929349574,98.0,0.16502489033155143,98.0,4480,0.2465977540705353,31.25157180428505,0.0003,0.05605263856705278,0.03541314191534184,-18.569516226649284,0.06987258285516873,-5.531268745660782
368,,146.07417,100.0,816,,45,,,0.02663218230009079,36800,0.0,,,,,,,,,,,,,
372,0.0,145.10782,100.0,838,0.10799999999999998,44,0.0,0.0,0.026664914563298225,37600,0.0,2.366995439375992,98.0,0.16395894531160593,98.0,4608,0.25670901080593467,32.28741937875748,0.0003,0.05401424923911691,0.03481883151107468,-20.040935948491096,0.06973486946662888,-6.3304716646671295
376,,145.10782,100.0,838,,44,,,0.026664914563298225,37600,0.0,,,,,,,,,,,,,
380,0.0,146.64647,100.0,851,0.04499999999999999,45,0.0,0.0,0.026679886505007744,38400,0.0,2.693099621585424,98.0,0.16530454601161182,98.0,4672,0.2533503382001072,31.954075396060944,0.0003,0.053009885479696095,0.03521417354932055,-19.977896690368652,0.07002392498543486,-6.493201695382595
384,,146.64647,100.0,851,,45,,,0.026679886505007744,38400,0.0,,,,,,,,,,,,,
388,0.0,146.7678,100.0,873,0.07499999999999998,44,0.0,0.0,0.026712993159890175,39200,0.0,2.801960756630752,98.0,0.16474670032039285,98.0,4800,0.2438676469027996,31.000835865736008,0.0003,0.051116473332513124,0.03484847248182632,-20.12514966726303,0.06989853782579303,-7.181684836745262
392,,146.7678,100.0,873,,44,,,0.026712993159890175,39200,0.0,,,,,,,,,,,,,
396,0.0,148.30731,100.0,896,0.16199999999999995,44,0.0,0.0,0.026745958253741264,40000,0.0,2.958899265640074,98.0,0.16559802135452628,98.0,4928,0.24682885990478098,31.31634885072708,0.0003,0.04929872264619917,0.036462731688516214,-19.754498600959778,0.07020496280165389,-7.526181176304817
400,,148.30731,100.0,896,,44,,,0.026745958253741264,40000,0.0,,,,,,,,,,,,,
404,0.0,149.47714,100.0,909,0.08999999999999998,44,0.0,0.0,0.026761574670672417,40800,0.0,2.7140709257532016,96.03999999999999,0.1646021557971835,96.03999999999999,4992,0.2372395747806877,29.65937301516533,0.0003,0.04839516326319426,0.03647583024576306,-20.61496938765049,0.06879254954401404,-8.39956882596016
408,,149.47714,100.0,909,,44,,,0.026761574670672417,40800,0.0,,,,,,,,,,,,,
412,0.0,150.44986,100.0,931,0.056999999999999995,44,0.0,0.0,0.026791857555508614,41600,0.0,2.9258562686512035,96.03999999999999,0.16514797834679484,96.03999999999999,5120,0.2382400594651699,29.861067324876785,0.0003,0.04660633811727166,0.03610878431936726,-20.82427218556404,0.0697859805659391,-9.018569871783257
416,,150.44986,100.0,931,,44,,,0.026791857555508614,41600,0.0,,,,,,,,,,,,,
420,0.0,150.11487,100.0,944,0.03899999999999999,44,0.0,0.0,0.02680695429444313,42400,0.0,2.566611304304587,96.03999999999999,0.16499610408209264,96.03999999999999,5184,0.24167412845417857,29.96909323334694,0.0003,0.045754869061056525,0.03445376158924773,-20.61390994489193,0.06766560941468924,-9.499664321541786
424,,150.11487,100.0,944,,44,,,0.02680695429444313,42400,0.0,,,,,,,,,,,,,
428,0.0,150.73627,100.0,967,0.18599999999999997,44,0.0,0.0,0.02683824487030506,43200,0.0,2.9947873073603013,96.03999999999999,0.16550165554508567,96.03999999999999,5312,0.23978659487329423,29.785045623779297,0.0003,0.044130317226517946,0.03313359883031808,-19.719853907823563,0.06749843107536435,-10.125162042677402
432,,150.73627,100.0,967,,44,,,0.02683824487030506,43200,0.0,,,,,,,,,,,,,
436,0.0,151.67004,100.0,980,0.07799999999999999,44,0.0,0.0,0.02685561031103134,44000,0.0,2.813210455711041,96.03999999999999,0.1627866590861231,96.03999999999999,5376,0.23683271813206375,29.558055520057678,0.0003,0.04337775573367253,0.03344394554733299,-19.598161473870277,0.0681146809947677,-10.641144566237926
440,,151.67004,100.0,980,,44,,,0.02685561031103134,44000,0.0,,,,,,,,,,,,,
444,0.0,153.15404,100.0,1002,0.153,44,0.0,0.0,0.026889221742749214,44800,0.0,3.0017598230885914,96.03999999999999,0.1597017520107329,96.03999999999999,5504,0.23309294926002622,29.13276696205139,0.0003,0.04186140850652009,0.03460519009968266,-20.598958760499954,0.06719798175618052,-11.451703071594238
448,,153.15404,100.0,1002,,44,,,0.026889221742749214,44800,0.0,,,,,,,,,,,,,
452,0.0,153.00783,100.0,1024,0.081,44,0.0,0.0,0.02692059613764286,45600,0.0,2.7366064812733004,96.03999999999999,0.1658318981062621,96.03999999999999,5632,0.23676185589283705,29.422824323177338,0.0003,0.04039263090817258,0.03224830512772314,-21.839907258749008,0.06659961229888722,-11.691989168524742
