rollout/ep_len_mean,time/total_timesteps,train/std,rollout/ep_rew_mean,rollout/success_rate,time/episodes,time/fps,time/time_elapsed,reward/info_exist_reward,reward/grasp_reward,reward/approach_reward,rollout/success_rate_once,reward/goal_reward,reward/static_reward,train/aux_weight,train/target_weight,train/actor_target_loss,train/critic_aux_loss,train/critic_target_loss,train/ent_coef,train/actor_loss,train/critic_loss,train/n_updates,train/actor_aux_loss,train/ent_coef_loss,train/learning_rate
100.0,1578400,0.14017771184444427,293.10318,0.18,15780,41,38056,0.25499999999999995,0.39,2.127646792414978,0.29,0.1888287167925263,0.0,20.683970229283698,20.683970229283698,0.010071675314975437,0.31712841847911477,0.09794997668359429,0.034398905583657324,-149.60595512390137,48.7888742685318,197184,0.099138094461523,-0.15329591499175876,0.0003
100.0,1578400,0.14017771184444427,293.10318,0.18,15784,41,38056,,,,,,,,,,,,,,,,,,
100.0,1579200,0.1401389241218567,292.43985,0.17,15788,41,38080,0.3,0.36,4.064694511396347,0.27,0.18908365563706955,0.0,20.683970229283698,20.683970229283698,0.011944027879508212,0.31322407303377986,0.10013501299545169,0.034437469264958054,-151.1119966506958,51.881623685359955,197312,0.098913898691535,0.43176527810283005,0.0003
100.0,1579200,0.1401389241218567,292.43985,0.17,15792,41,38080,,,,,,,,,,,,,,,,,,
100.0,1580000,0.14011473953723907,289.64032,0.16,15796,41,38093,0.264,0.12,3.7661757089127934,0.26,0.08,0.0,20.683970229283698,20.683970229283698,0.009917968542140443,0.31470292108133435,0.09829328674823046,0.034569586743600667,-151.20697164535522,51.06520068645477,197376,0.09923355537466705,0.9347034499514848,0.0003
100.0,1580000,0.14011473953723907,289.64032,0.16,15800,41,38093,,,,,,,,,,,,,,,,,,
100.0,1580800,0.14008723199367523,292.70667,0.17,15804,41,38117,0.2879999999999999,0.54,3.1779087324365043,0.28,0.222279956862641,0.0,20.270290824698026,20.270290824698026,0.011345743238052819,0.31768101919442415,0.10027503524906933,0.03472226264420897,-151.37798881530762,51.08755785226822,197504,0.10022346570622176,-0.16900072083808482,0.0003
100.0,1580800,0.14008723199367523,292.70667,0.17,15808,41,38117,,,,,,,,,,,,,,,,,,
100.0,1581600,0.14005346596240997,285.98016,0.17,15812,41,38140,0.29699999999999993,0.45,3.3504395769212776,0.29,0.09928663252510096,0.0,20.270290824698026,20.270290824698026,0.010937375467619859,0.3218223052099347,0.09916393016465008,0.03476685273926705,-150.9420280456543,54.603838205337524,197632,0.10023072827607393,0.0798091902397573,0.0003
100.0,1581600,0.14005346596240997,285.98016,0.17,15816,41,38140,,,,,,,,,,,,,,,,,,
100.0,1582400,0.14003975689411163,283.9879,0.16,15820,41,38153,0.29699999999999993,0.39,3.797725473102364,0.29,0.17075955609459995,0.0,20.270290824698026,20.270290824698026,0.011102532153017819,0.3222572198137641,0.1005470851669088,0.03475334105314687,-150.45706272125244,54.61441397666931,197696,0.09955193195492029,0.006591299665160477,0.0003
100.0,1582400,0.14003975689411163,283.9879,0.16,15824,41,38153,,,,,,,,,,,,,,,,,,
100.0,1583200,0.14001384377479553,286.465,0.18,15828,41,38176,0.3,1.17,4.211975281936592,0.32,0.6065692799655913,0.0,20.270290824698026,20.270290824698026,0.01103543915451155,0.3223065542988479,0.09925979294348508,0.03459679917432368,-150.24243545532227,53.750103771686554,197824,0.10131200274918228,-0.48577518900856376,0.0003
100.0,1583200,0.14001384377479553,286.465,0.18,15832,41,38176,,,,,,,,,,,,,,,,,,
100.0,1584000,0.14001469314098358,281.57437,0.16,15836,41,38189,0.27599999999999997,0.96,4.39883617627079,0.3,0.40915957718126217,0.0,20.270290824698026,20.270290824698026,0.011264686050708406,0.32084391498938203,0.10002168465871364,0.03466726333135739,-150.95153546333313,51.76767939329147,197888,0.09984439925756305,1.1919403615174815,0.0003
100.0,1584000,0.14001469314098358,281.57437,0.16,15840,41,38189,,,,,,,,,,,,,,,,,,
100.0,1584800,0.14001527428627014,285.2448,0.17,15844,41,38212,0.282,0.51,3.6027274490194174,0.32,0.1526203588210687,0.0,20.270290824698026,20.270290824698026,0.011228282637603115,0.3219901495613158,0.0992001643171534,0.034991978434845805,-150.0688338279724,55.146172761917114,198016,0.10220452537760139,0.6801899906713516,0.0003
100.0,1584800,0.14001527428627014,285.2448,0.17,15848,41,38212,,,,,,,,,,,,,,,,,,
100.0,1585600,0.1399957686662674,290.58392,0.19,15852,41,38227,0.3,0.18,3.443228482216785,0.33,0.06303557482981922,0.0,20.270290824698026,20.270290824698026,0.0119852622228791,0.3214562591165304,0.10361010429915041,0.034962407837156206,-150.06016993522644,53.81268799304962,198080,0.10016764886677265,-0.6367319137789309,0.0003
100.0,1585600,0.1399957686662674,290.58392,0.19,15856,41,38227,,,,,,,,,,,,,,,,,,
100.0,1586400,0.13994094729423523,289.42957,0.18,15860,41,38250,0.24299999999999997,0.0,4.567231948493782,0.32,0.0,0.0,20.270290824698026,20.270290824698026,0.009686419267382007,0.3194786850363016,0.10086825024336576,0.034806895768269897,-150.71823573112488,51.62943720817566,198208,0.09970204380806535,0.11467020172858611,0.0003
100.0,1586400,0.13994094729423523,289.42957,0.18,15864,41,38250,,,,,,,,,,,,,,,,,,
100.0,1587200,0.13994643092155457,293.4188,0.2,15868,41,38264,0.3,0.39,2.8081924421874045,0.33,0.22194789332739442,0.0,20.270290824698026,20.270290824698026,0.011709495396644343,0.32168345293030143,0.100036600837484,0.03489610308315605,-149.19269371032715,49.212829530239105,198272,0.10112885618582368,0.7839189064688981,0.0003
100.0,1587200,0.13994643092155457,293.4188,0.2,15872,41,38264,,,,,,,,,,,,,,,,,,
