time/episodes,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/std,rollout/ep_len_mean,time/total_timesteps,rollout/success_rate,train/n_updates,train/actor_loss,train/learning_rate,train/ent_coef_loss,train/ent_coef,train/critic_loss
408,123,283.86053,329,0.02569686993956566,100.0,40800,0.0,10000,-88.98218488693237,0.0003,-11.156803593039513,0.015144113334827125,5.08171908557415
412,123,284.12634,332,0.025693202391266823,100.0,41200,0.0,10096,-89.89209842681885,0.0003,-4.924552284181118,0.014910401427187026,4.847282662987709
416,123,284.70868,335,0.025696104392409325,100.0,41600,0.0,10192,-90.50529289245605,0.0003,-6.35659746453166,0.014707840804476291,4.981576547026634
420,123,286.27335,339,0.025695035234093666,100.0,42000,0.0,10304,-90.99080038070679,0.0003,-3.284360831603408,0.014477503020316362,5.498399883508682
424,123,285.87674,342,0.025691591203212738,100.0,42400,0.0,10400,-91.83484554290771,0.0003,-4.884150147438049,0.01430773176252842,5.73736660182476
428,123,285.4941,346,0.02569006010890007,100.0,42800,0.0,10496,-92.00065994262695,0.0003,-6.178325109183788,0.014159106358420104,5.335490837693214
432,123,285.78198,349,0.025689037516713142,100.0,43200,0.0,10592,-93.13033771514893,0.0003,-6.103161007165909,0.014028853678610176,6.043639600276947
436,123,286.46655,353,0.025691790506243706,100.0,43600,0.0,10704,-93.56311702728271,0.0003,-6.256307831034064,0.013877271674573421,5.531767427921295
440,123,287.23932,356,0.025681858882308006,100.0,44000,0.0,10800,-94.33907270431519,0.0003,-2.4683510828763247,0.013746798795182258,5.147960618138313
444,123,286.963,360,0.025679249316453934,100.0,44400,0.0,10896,-94.80328750610352,0.0003,-2.049949076026678,0.01372664695372805,5.151047274470329
448,123,287.5656,363,0.0256815142929554,100.0,44800,0.0,10992,-95.08917331695557,0.0003,-1.7409376967698336,0.013789971941150725,5.3295145481824875
452,123,288.0807,366,0.025682304054498672,100.0,45200,0.0,11104,-96.22308206558228,0.0003,-2.1510378532111645,0.013749741425272077,4.897500678896904
456,123,288.08185,370,0.025682857260107994,100.0,45600,0.0,11200,-96.31362199783325,0.0003,0.035531703382730484,0.01372937421547249,6.362631112337112
460,123,289.3721,373,0.025684544816613197,100.0,46000,0.0,11296,-97.14378499984741,0.0003,-1.3008135203272104,0.013728044636081904,4.0322390496730804
464,123,291.29633,377,0.025686273351311684,100.0,46400,0.0,11392,-97.99038934707642,0.0003,-0.18685459345579147,0.013766042422503233,5.295783624053001
468,122,291.53464,380,0.025685684755444527,100.0,46800,0.0,11504,-98.52954578399658,0.0003,-1.056467106565833,0.013676682370714843,4.883875459432602
472,123,290.36044,383,0.02568942680954933,100.0,47200,0.0,11600,-99.02659702301025,0.0003,-1.0924020484089851,0.01362532947678119,5.038683772087097
476,122,292.61075,387,0.02568660117685795,100.0,47600,0.0,11696,-99.89215755462646,0.0003,-1.733373524621129,0.01356368517735973,5.111150816082954
480,122,293.20398,390,0.025687670335173607,100.0,48000,0.0,11792,-100.01558256149292,0.0003,-3.3121839575469494,0.013531500531826168,4.376136019825935
484,122,294.23798,393,0.025684183463454247,100.0,48400,0.0,11904,-101.20593690872192,0.0003,2.788728091865778,0.013368507730774581,4.948918461799622
488,122,295.87128,397,0.025689246132969856,100.0,48800,0.0,12000,-101.16851711273193,0.0003,-0.015448447316884995,0.01347069110488519,4.785821437835693
492,122,296.79327,400,0.025693025439977646,100.0,49200,0.0,12096,-101.8356671333313,0.0003,0.1746107116341591,0.01347764814272523,4.996254116296768
