rollout/ep_rew_mean,time/time_elapsed,rollout/success_rate,time/total_timesteps,reward/goal_reward,rollout/ep_len_mean,time/fps,train/std,reward/approach_reward,reward/static_reward,reward/grasp_reward,time/episodes,reward/info_exist_reward,train/critic_aux_loss,train/learning_rate,train/critic_loss,train/actor_loss,train/ent_coef_loss,train/n_updates,train/actor_aux_loss,train/aux_weight,train/target_weight,train/actor_target_loss,train/ent_coef,train/critic_target_loss
148.23528,292,0.0,13600,0.0,100.0,46,0.025885846465826035,3.1144801221607277,0.0,0.0,132,0.07799999999999999,0.3080589775927365,0.0003,40.16935181617737,19.594123393297195,-13.896166682243347,1600,0.20686701918020844,100.0,100.0,0.08742593543138355,0.12926401756703854,0.09229340206366032
148.23528,292,0.0,13600,,100.0,46,0.025885846465826035,,,,136,,,,,,,,,,,,,
149.48076,314,0.0,14400,0.0,100.0,45,0.025917133316397667,3.0969922608516027,0.0,0.0,140,0.07499999999999998,0.302360528614372,0.0003,40.263138711452484,18.371585875749588,-15.142416283488274,1728,0.1989999213255942,100.0,100.0,0.09222692297771573,0.12454812496434897,0.09871804795693606
149.48076,314,0.0,14400,,100.0,45,0.025917133316397667,,,,144,,,,,,,,,,,,,
148.46431,327,0.0,15200,0.0,100.0,46,0.02593197114765644,2.8117267349032637,0.0,0.0,148,0.08099999999999997,0.2978247064165771,0.0003,39.89852315187454,18.04667676985264,-14.903630182147026,1792,0.19971778662875295,100.0,100.0,0.09212553221732378,0.12220013071782887,0.09947682614438236
148.46431,327,0.0,15200,,100.0,46,0.02593197114765644,,,,152,,,,,,,,,,,,,
148.31488,349,0.0,16000,0.0,100.0,45,0.025964057072997093,2.7160040659393023,0.0,0.0,156,0.15299999999999997,0.30105166928842664,0.0003,40.00959986448288,16.98284511268139,-14.532582387328148,1920,0.2004943247884512,100.0,100.0,0.08781123487278819,0.11778372805565596,0.09755777753889561
148.31488,349,0.0,16000,,100.0,45,0.025964057072997093,,,,160,,,,,,,,,,,,,
147.70454,362,0.0,16800,0.0,100.0,46,0.02598027139902115,2.811334217223689,0.0,0.0,164,0.11399999999999999,0.30005599185824394,0.0003,39.59766149520874,15.503885418176651,-15.545668855309486,1984,0.19517304026521742,100.0,100.0,0.08293493103701621,0.11563569167628884,0.09416774346027523
147.70454,362,0.0,16800,,100.0,46,0.02598027139902115,,,,168,,,,,,,,,,,,,
