#{"t_start": 1788151086.452667, "env_id": null}
r,l,t
193.60378,100,2160.605284
214.51642,100,2160.605299
196.44164,100,2160.605315
162.11368,100,2174.344652
228.69653,100,2174.344747
255.78894,100,2174.344769
124.82535,100,2174.344785
206.69138,100,2174.344802
168.12863,100,2174.344834
166.65068,100,2174.344851
228.799,100,2174.344867
179.84691,100,2196.910092
183.5871,100,2196.910183
203.79608,100,2196.910205
210.87457,100,2196.910222
196.2905,100,2196.910238
217.60674,100,2196.910254
206.65173,100,2196.910269
164.3949,100,2196.910285
228.7774,100,2219.62656
246.92892,100,2219.62665
231.77594,100,2219.626673
143.6589,100,2219.62669
210.4421,100,2219.626707
177.22083,100,2219.626723
206.74336,100,2219.626739
169.68565,100,2219.626755
168.22818,100,2233.161482
238.17531,100,2233.161557
216.2676,100,2233.161569
179.71591,100,2233.161577
217.17746,100,2233.161585
177.62717,100,2233.161593
142.03192,100,2233.161602
193.20697,100,2233.16161
221.36058,100,2256.158977
175.02628,100,2256.159052
230.63815,100,2256.159064
141.69322,100,2256.159073
229.438,100,2256.159082
139.95793,100,2256.15909
164.86868,100,2256.159099
235.81093,100,2256.159108
171.91286,100,2268.730411
186.90938,100,2268.730502
172.93309,100,2268.730524
250.1641,100,2268.730541
235.1385,100,2268.730558
162.19745,100,2268.730574
209.11327,100,2268.73059
207.46362,100,2268.730605
205.30202,100,2292.122106
231.84677,100,2292.122202
171.95389,100,2292.122225
232.44891,100,2292.122242
210.47247,100,2292.122258
220.39757,100,2292.122274
247.57462,100,2292.12229
237.8337,100,2292.122306
221.18858,100,2306.255308
231.90013,100,2306.255402
249.16772,100,2306.255424
193.70851,100,2306.255441
272.95102,100,2306.255458
239.44427,100,2306.255474
195.47038,100,2306.25549
226.40013,100,2306.255506
237.10602,100,2328.964746
172.50833,100,2328.964852
219.58241,100,2328.964875
198.38863,100,2328.964891
200.20148,100,2328.964907
247.84052,100,2328.964923
191.26895,100,2328.964938
239.3868,100,2328.964954
243.22156,100,2343.203661
184.44757,100,2343.203755
214.52519,100,2343.203777
189.1237,100,2343.203794
254.06477,100,2343.203821
211.92412,100,2343.203842
193.83072,100,2343.203858
191.65268,100,2343.203875
242.14415,100,2366.132786
215.78693,100,2366.132893
163.28447,100,2366.132915
257.4781,100,2366.132933
235.07623,100,2366.132949
242.9639,100,2366.132965
159.77167,100,2366.132981
201.95355,100,2366.132998
415.25467,100,2388.399758
213.13893,100,2388.399858
190.95189,100,2388.399879
200.23914,100,2388.399895
185.08102,100,2388.399909
224.43463,100,2388.399924
207.57619,100,2388.399938
199.20851,100,2388.399952
216.31445,100,2401.41584
206.68973,100,2401.415934
151.92198,100,2401.415957
214.99294,100,2401.415973
227.25197,100,2401.41599
180.4422,100,2401.416006
249.54631,100,2401.416022
195.49199,100,2401.416038
227.28487,100,2424.183492
212.64967,100,2424.183573
216.94727,100,2424.183585
165.1723,100,2424.183594
211.46182,100,2424.183602
184.37868,100,2424.18361
245.36264,100,2424.183619
196.37746,100,2424.183627
180.37282,100,2437.601163
153.05267,100,2437.601235
135.81131,100,2437.601247
204.27289,100,2437.601256
196.88077,100,2437.601264
141.91061,100,2437.601272
214.69887,100,2437.601281
220.71503,100,2437.601289
189.04077,100,2460.136097
203.5478,100,2460.136167
227.30618,100,2460.136178
180.45679,100,2460.136188
168.33514,100,2460.136196
192.72443,100,2460.136205
231.33563,100,2460.136213
224.1032,100,2460.136222
197.47433,100,2473.41005
164.57878,100,2473.41013
220.92836,100,2473.410141
196.46786,100,2473.410151
135.95277,100,2473.410159
158.2478,100,2473.410167
165.77937,100,2473.410176
241.59962,100,2473.410184
240.04045,100,2495.884349
202.27621,100,2495.884443
185.18694,100,2495.884464
154.1381,100,2495.884481
234.52905,100,2495.884497
203.16472,100,2495.884513
156.97406,100,2495.884529
225.98688,100,2495.884545
232.64864,100,2518.798667
232.59732,100,2518.798745
220.6856,100,2518.798768
218.91188,100,2518.798777
210.94981,100,2518.798785
208.51,100,2518.798794
221.46281,100,2518.798802
248.93713,100,2518.798817
200.77171,100,2532.089534
251.89421,100,2532.089624
214.97034,100,2532.089646
226.69641,100,2532.089663
229.2196,100,2532.089679
252.02998,100,2532.089695
136.01974,100,2532.08971
226.56088,100,2532.089727
229.5726,100,2554.482755
212.19875,100,2554.482837
212.86086,100,2554.482852
220.89726,100,2554.482861
155.84718,100,2554.48287
183.39183,100,2554.482879
220.31995,100,2554.482887
189.4572,100,2554.482895
208.80338,100,2567.405256
209.9923,100,2567.405347
186.43262,100,2567.40537
164.30374,100,2567.405387
214.26114,100,2567.405402
212.81805,100,2567.405418
140.55356,100,2567.405433
165.22302,100,2567.405448
156.87613,100,2589.907436
212.45561,100,2589.907526
212.27998,100,2589.907548
256.5733,100,2589.907565
218.62413,100,2589.907582
209.67844,100,2589.907598
179.88635,100,2589.907613
212.03253,100,2589.907629
208.10533,100,2603.178941
205.19011,100,2603.179035
201.00015,100,2603.179057
233.82336,100,2603.179074
194.57545,100,2603.17909
206.55981,100,2603.179106
189.34782,100,2603.179122
185.67152,100,2603.179138
217.29414,100,2625.411323
200.18901,100,2625.411418
202.73843,100,2625.411447
224.18854,100,2625.411467
177.18828,100,2625.411485
167.09142,100,2625.411502
184.9299,100,2625.411521
202.23413,100,2625.411538
168.26953,100,2638.608019
178.72021,100,2638.608096
271.20358,100,2638.608107
206.26823,100,2638.608116
175.79143,100,2638.608124
179.52663,100,2638.608133
214.34943,100,2638.608141
243.04967,100,2638.608149
176.02333,100,2660.727911
162.77982,100,2660.728009
142.2795,100,2660.728031
206.29814,100,2660.728048
212.99977,100,2660.728063
195.72964,100,2660.728078
212.94911,100,2660.728094
173.1132,100,2660.728109
232.72508,100,2683.898315
192.2797,100,2683.898406
196.68512,100,2683.898428
201.90685,100,2683.898445
185.87079,100,2683.898462
232.21985,100,2683.898478
205.45377,100,2683.898493
214.47766,100,2683.898509
232.50798,100,2697.797823
188.17896,100,2697.797899
176.89282,100,2697.797911
215.37822,100,2697.79792
216.91925,100,2697.797929
231.35178,100,2697.797936
228.52744,100,2697.797945
225.78235,100,2697.797953
233.23482,100,2721.212344
245.3115,100,2721.212438
226.40218,100,2721.212461
229.15779,100,2721.212478
212.4222,100,2721.212494
241.03035,100,2721.21251
170.20857,100,2721.212526
216.57439,100,2721.212542
205.13889,100,2734.939056
236.2592,100,2734.939127
185.66066,100,2734.939139
233.22482,100,2734.939149
233.93243,100,2734.939158
175.7909,100,2734.939167
208.22499,100,2734.939176
235.73405,100,2734.939184
209.24048,100,2757.73668
170.94615,100,2757.736757
215.17595,100,2757.736769
209.46649,100,2757.736778
211.64409,100,2757.736787
154.70093,100,2757.736796
200.82217,100,2757.736804
232.9687,100,2757.736824
206.41766,100,2770.951586
198.33243,100,2770.951676
196.92664,100,2770.951699
168.92236,100,2770.951716
177.08205,100,2770.951732
244.72852,100,2770.951748
140.30202,100,2770.951764
204.06082,100,2770.951779
232.24849,100,2794.167801
174.09134,100,2794.167906
232.90752,100,2794.167929
200.39413,100,2794.167947
235.01541,100,2794.167963
155.42393,100,2794.167979
220.43843,100,2794.167995
196.24321,100,2794.168013
241.27768,100,2816.208494
167.48141,100,2816.208572
209.50574,100,2816.208585
234.93416,100,2816.208594
191.18727,100,2816.208604
188.55087,100,2816.208612
144.41759,100,2816.208621
155.82681,100,2816.208629
173.34659,100,2828.976259
233.91618,100,2828.97633
127.41134,100,2828.976342
182.62375,100,2828.976351
194.89809,100,2828.976359
213.98152,100,2828.976367
220.81485,100,2828.976375
168.24655,100,2828.976384
225.04439,100,2852.270325
215.34352,100,2852.270417
209.03351,100,2852.270439
231.53409,100,2852.270456
247.2412,100,2852.270472
170.17691,100,2852.270487
210.76054,100,2852.270503
211.96347,100,2852.270518
213.7116,100,2865.759201
199.6517,100,2865.759295
152.73433,100,2865.759317
223.53111,100,2865.759354
194.5251,100,2865.759372
205.09596,100,2865.759387
210.43106,100,2865.759403
230.64188,100,2865.759419
250.37706,100,2888.555107
225.79503,100,2888.555182
210.79295,100,2888.555195
175.602,100,2888.555204
254.7373,100,2888.555213
172.59624,100,2888.555222
183.36488,100,2888.555231
143.13556,100,2888.55524
193.23763,100,2901.88859
182.3387,100,2901.888686
209.5207,100,2901.88871
177.92168,100,2901.888727
214.28738,100,2901.888744
203.6014,100,2901.88876
145.69734,100,2901.888776
245.90407,100,2901.888792
239.59814,100,2925.271204
151.17505,100,2925.271273
265.07068,100,2925.271285
201.54956,100,2925.271294
182.02713,100,2925.271302
224.17413,100,2925.271311
216.24901,100,2925.271319
179.88351,100,2925.271327
215.08139,100,2939.396038
265.9425,100,2939.396131
225.74103,100,2939.396153
198.67224,100,2939.39617
248.49121,100,2939.396187
214.32158,100,2939.396203
173.60321,100,2939.396219
223.31165,100,2939.396235
218.64249,100,2961.876652
228.63358,100,2961.876746
239.884,100,2961.876769
210.41463,100,2961.876785
183.07121,100,2961.876801
179.3732,100,2961.876833
235.68028,100,2961.876849
227.37369,100,2961.876864
192.42654,100,2985.270735
228.25357,100,2985.27082
234.35873,100,2985.270837
217.78076,100,2985.270847
186.96494,100,2985.270856
161.16891,100,2985.270864
260.99057,100,2985.270873
257.0027,100,2985.270881
235.00368,100,2998.400496
205.03154,100,2998.400569
229.945,100,2998.400581
216.31807,100,2998.40059
257.7544,100,2998.400599
188.46887,100,2998.400608
199.24965,100,2998.400617
264.8109,100,2998.400625
184.52388,100,3020.958091
198.13469,100,3020.958172
251.89156,100,3020.958186
243.8817,100,3020.958196
217.61925,100,3020.958205
228.9515,100,3020.958214
263.57495,100,3020.958223
194.0448,100,3020.958231
181.41557,100,3034.406916
237.80553,100,3034.40701
183.14293,100,3034.407032
145.83174,100,3034.40705
237.8235,100,3034.407066
219.48538,100,3034.407083
206.055,100,3034.407099
211.34444,100,3034.407115
210.91617,100,3056.943087
226.79906,100,3056.943183
246.0491,100,3056.943207
229.74564,100,3056.943226
220.44101,100,3056.943243
221.0197,100,3056.94326
185.1769,100,3056.943276
224.81094,100,3056.943291
174.52106,100,3070.177567
237.06393,100,3070.177643
192.86357,100,3070.177655
154.5873,100,3070.177664
206.98515,100,3070.177673
223.455,100,3070.177682
207.89052,100,3070.177691
183.70708,100,3070.1777
258.4317,100,3092.738986
213.6351,100,3092.739079
168.42493,100,3092.739101
295.12424,100,3092.739119
202.57028,100,3092.739135
246.18324,100,3092.739151
199.5275,100,3092.739167
226.95876,100,3092.739182
183.80652,100,3115.541991
227.82211,100,3115.542065
223.09566,100,3115.542078
222.82024,100,3115.542087
224.51477,100,3115.542096
177.53032,100,3115.542105
203.49509,100,3115.542114
207.24655,100,3115.542122
205.36899,100,3128.668174
156.33833,100,3128.668268
186.49149,100,3128.668293
193.09267,100,3128.66831
205.44363,100,3128.668327
179.20987,100,3128.668342
238.2593,100,3128.668358
244.74498,100,3128.668373
210.9485,100,3151.396976
192.76572,100,3151.397062
204.27713,100,3151.397082
172.18913,100,3151.397097
229.03084,100,3151.397112
221.5357,100,3151.397126
218.84845,100,3151.39714
238.60832,100,3151.397154
197.91508,100,3164.548997
213.0396,100,3164.549073
219.96927,100,3164.549085
243.39766,100,3164.549094
218.54933,100,3164.549103
198.0118,100,3164.549111
232.70558,100,3164.549119
177.81671,100,3164.549128
215.40115,100,3186.830943
188.69473,100,3186.83103
148.07164,100,3186.83105
188.69905,100,3186.831066
194.95691,100,3186.831081
207.64659,100,3186.831095
212.03871,100,3186.83111
252.72246,100,3186.831124
189.67966,100,3200.248862
191.9503,100,3200.248956
239.02975,100,3200.248978
223.64693,100,3200.248997
211.0644,100,3200.249013
203.50461,100,3200.249029
226.0926,100,3200.249045
224.31467,100,3200.24906
214.74518,100,3223.196777
185.37393,100,3223.196886
212.98883,100,3223.196909
230.41115,100,3223.196928
201.57185,100,3223.197056
210.90309,100,3223.197074
231.48427,100,3223.19709
201.29799,100,3223.197107
207.09377,100,3236.37127
215.40152,100,3236.371346
221.27524,100,3236.371358
186.09113,100,3236.371367
210.24036,100,3236.371377
166.86015,100,3236.371385
214.41888,100,3236.371394
177.3887,100,3236.371403
202.4412,100,3259.586762
211.2909,100,3259.58687
223.84895,100,3259.586892
148.89441,100,3259.586909
232.50636,100,3259.586924
332.60077,100,3259.586945
232.77318,100,3259.586961
194.13715,100,3259.586976
214.76363,100,3282.211532
178.69475,100,3282.211609
213.0427,100,3282.211622
209.98839,100,3282.211631
208.75192,100,3282.21164
154.84715,100,3282.211649
205.60161,100,3282.211658
242.77809,100,3282.211667
235.89389,100,3295.162142
174.02623,100,3295.162234
241.71716,100,3295.162257
228.34868,100,3295.162274
246.58412,100,3295.162291
213.60004,100,3295.162307
