time/fps,train/std,time/time_elapsed,rollout/success_rate,time/total_timesteps,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,train/target_weight,train/critic_aux_loss,train/n_updates,train/actor_loss,train/actor_aux_loss,train/aux_weight,train/ent_coef_loss,train/learning_rate,train/critic_target_loss,train/actor_target_loss,train/ent_coef,train/critic_loss
46,0.026187293231487274,483,0.0,22400,220,236.63478,100.0,98.0,0.2815826195292175,2688,-0.5808024033904076,0.19119657413102686,98.0,-16.34821969270706,0.0003,0.08429807319771498,0.06223109702114016,0.09407770074903965,37.1609753370285
46,0.026187293231487274,483,0.0,22400,224,236.63478,100.0,,,,,,,,,,,,
45,0.026219066232442856,505,0.0,23200,228,238.9364,100.0,98.0,0.27870963141322136,2816,-2.3031152486801147,0.19283924507908523,98.0,-17.101579502224922,0.0003,0.07912103948183358,0.05503651045728475,0.09066745766904205,36.52305614948273
45,0.026219066232442856,505,0.0,23200,232,238.9364,100.0,,,,,,,,,,,,
46,0.026235239580273628,517,0.0,24000,236,241.35298,100.0,98.0,0.27428310457617044,2880,-3.6852429807186127,0.18702911888249218,98.0,-17.437279850244522,0.0003,0.08070980908814818,0.054374804836697876,0.08892148116137832,36.403036534786224
46,0.026235239580273628,517,0.0,24000,240,241.35298,100.0,,,,,,,,,,,,
45,0.02626882866024971,539,0.0,24800,244,244.05685,100.0,98.0,0.2734838805627078,3008,-5.4638021513819695,0.1814011752139777,98.0,-16.635016173124313,0.0003,0.08286191371735185,0.05404809443280101,0.08573120075743645,36.55912446975708
45,0.02626882866024971,539,0.0,24800,248,244.05685,100.0,,,,,,,,,,,,
46,0.026284657418727875,552,0.0,25600,252,243.35017,100.0,98.0,0.27439524978399277,3072,-6.730476766824722,0.1759180910885334,98.0,-17.09903371334076,0.0003,0.08299553138203919,0.05227728869067505,0.08418929972685874,36.832832634449005
46,0.026284657418727875,552,0.0,25600,256,243.35017,100.0,,,,,,,,,,,,
45,0.026314890012145042,574,0.0,26400,260,245.34851,100.0,98.0,0.27123425900936127,3200,-8.070399157702923,0.17754333838820457,98.0,-17.45856262743473,0.0003,0.08314402215182781,0.04922262014588341,0.08110988687258214,36.43877536058426
45,0.026314890012145042,574,0.0,26400,264,245.34851,100.0,,,,,,,,,,,,
45,0.02634625881910324,596,0.0,27200,268,249.3825,100.0,98.0,0.2686745321843773,3328,-9.789113275706768,0.17757491976954043,98.0,-17.029139518737793,0.0003,0.08105764829088002,0.045751639117952436,0.07823186600580812,36.15023761987686
45,0.02634625881910324,596,0.0,27200,272,249.3825,100.0,,,,,,,,,,,,
