#{"t_start": 1787295062.814969, "env_id": null}
r,l,t
511.92474,100,57912.136579
533.021,100,57912.136595
348.7402,100,57924.676816
364.8131,100,57924.676893
343.1091,100,57924.676904
352.23056,100,57924.676913
384.15988,100,57924.676922
359.18234,100,57924.676929
372.7699,100,57924.676938
357.00955,100,57924.676946
355.08237,100,57947.939403
318.24768,100,57947.939476
336.56656,100,57947.939489
373.61307,100,57947.939497
466.15002,100,57947.939506
384.08356,100,57947.939529
347.54892,100,57947.939538
367.90344,100,57947.939546
487.11215,100,57961.49084
470.1346,100,57961.490929
358.6775,100,57961.490952
336.2989,100,57961.490969
379.27176,100,57961.490984
505.29474,100,57961.490999
503.711,100,57961.491015
443.9866,100,57961.49103
277.49347,100,57984.472521
284.9982,100,57984.472608
327.34348,100,57984.47263
517.69025,100,57984.472646
513.77905,100,57984.472662
570.52344,100,57984.472677
351.16626,100,57984.472692
467.68103,100,57984.472733
346.57062,100,57998.694126
370.55917,100,57998.6942
343.9259,100,57998.694212
413.15982,100,57998.694221
374.68747,100,57998.694229
481.42807,100,57998.694237
385.11197,100,57998.694245
308.71942,100,57998.694253
552.2991,100,58022.023278
388.59076,100,58022.02336
367.95377,100,58022.02338
369.65503,100,58022.023394
581.8158,100,58022.023408
495.6748,100,58022.023422
272.08112,100,58022.023436
373.40573,100,58022.023449
391.06696,100,58035.659272
391.28503,100,58035.659343
361.62006,100,58035.659355
482.132,100,58035.659364
347.84988,100,58035.659372
372.8667,100,58035.659379
497.74496,100,58035.659388
395.17142,100,58035.659395
362.7181,100,58058.660662
301.13568,100,58058.660738
369.01678,100,58058.66075
383.16214,100,58058.660759
294.78696,100,58058.660768
344.00058,100,58058.660776
379.20813,100,58058.660784
270.67654,100,58058.660792
569.6567,100,58082.47524
414.14813,100,58082.475312
383.49606,100,58082.475324
320.30908,100,58082.475333
398.11862,100,58082.475341
369.9909,100,58082.475349
525.93207,100,58082.475358
354.06317,100,58082.475366
386.01132,100,58096.53414
300.59412,100,58096.53421
383.673,100,58096.534222
372.59695,100,58096.534231
395.3592,100,58096.534239
358.83588,100,58096.534247
339.58344,100,58096.534255
382.6954,100,58096.534264
389.7437,100,58119.35948
378.50946,100,58119.359564
329.25684,100,58119.359576
365.65613,100,58119.359585
373.73492,100,58119.359593
328.34973,100,58119.359601
361.10806,100,58119.359609
383.74234,100,58119.359617
406.09503,100,58132.825339
416.26733,100,58132.825414
360.55054,100,58132.825427
353.60638,100,58132.825436
422.17615,100,58132.825445
381.383,100,58132.825453
341.12976,100,58132.825462
370.25992,100,58132.825471
357.4249,100,58155.308237
409.41595,100,58155.308313
387.21753,100,58155.308325
345.41138,100,58155.308333
381.23404,100,58155.308341
344.47733,100,58155.308349
346.38342,100,58155.308357
390.58032,100,58155.308365
413.28192,100,58169.383792
346.01108,100,58169.383885
367.23828,100,58169.383908
555.37836,100,58169.383925
354.28177,100,58169.383941
337.33264,100,58169.383956
357.756,100,58169.383972
385.0597,100,58169.383987
382.90976,100,58192.611882
458.66754,100,58192.611962
604.37256,100,58192.611974
391.7814,100,58192.611982
513.1935,100,58192.61199
404.95175,100,58192.611999
545.3335,100,58192.612006
301.2588,100,58192.612014
526.3917,100,58216.279476
357.07526,100,58216.279558
384.60815,100,58216.27957
372.98468,100,58216.279579
305.23273,100,58216.279588
368.60257,100,58216.279596
287.55704,100,58216.279604
530.63184,100,58216.279612
430.15985,100,58230.843518
510.47797,100,58230.843607
338.22836,100,58230.843627
471.37024,100,58230.843642
498.24844,100,58230.843656
330.05554,100,58230.84367
308.22522,100,58230.843684
296.47687,100,58230.843698
533.638,100,58253.824697
370.44287,100,58253.824783
293.07825,100,58253.824802
360.04404,100,58253.824817
352.33856,100,58253.824831
350.2889,100,58253.824844
327.62665,100,58253.824858
378.4023,100,58253.824871
368.72482,100,58267.065598
401.92303,100,58267.065691
319.096,100,58267.065714
528.5823,100,58267.065731
240.73438,100,58267.065746
449.77356,100,58267.065762
348.3324,100,58267.065777
348.20914,100,58267.065792
281.32434,100,58290.670602
370.7655,100,58290.670675
553.2174,100,58290.670687
494.0493,100,58290.670696
423.50662,100,58290.670704
586.36847,100,58290.670712
367.19263,100,58290.67072
350.16956,100,58290.670728
380.81458,100,58304.702832
347.58792,100,58304.702921
444.7768,100,58304.702944
380.40967,100,58304.70296
314.8419,100,58304.702976
380.17862,100,58304.702991
372.12183,100,58304.703007
428.7125,100,58304.703022
308.16394,100,58328.620115
389.0908,100,58328.620209
398.5256,100,58328.620233
365.7714,100,58328.620249
407.62518,100,58328.620264
372.62402,100,58328.62028
523.1168,100,58328.620296
491.51346,100,58328.620311
345.47018,100,58341.210184
357.15683,100,58341.210258
439.64624,100,58341.21027
306.4922,100,58341.210279
391.7315,100,58341.210309
448.57843,100,58341.210317
322.79935,100,58341.210325
449.90033,100,58341.210333
341.47516,100,58363.31101
355.16537,100,58363.311102
502.4753,100,58363.311124
322.8713,100,58363.311141
479.37936,100,58363.311157
349.79926,100,58363.311173
359.45993,100,58363.311189
397.1696,100,58363.311205
344.8595,100,58386.971628
288.67828,100,58386.971704
394.68106,100,58386.971716
357.6516,100,58386.971725
348.0002,100,58386.971733
267.05603,100,58386.971741
494.52765,100,58386.971749
384.60956,100,58386.971757
335.34424,100,58401.723712
377.81876,100,58401.723801
628.22217,100,58401.723823
367.05307,100,58401.72384
363.46463,100,58401.723856
365.13977,100,58401.723871
353.58875,100,58401.723887
373.41766,100,58401.723902
335.31403,100,58425.702493
396.95844,100,58425.702572
349.6526,100,58425.702583
483.69604,100,58425.702592
335.47958,100,58425.7026
359.12122,100,58425.702608
475.0303,100,58425.702616
347.35233,100,58425.702624
411.17862,100,58439.812444
345.80597,100,58439.812546
379.22092,100,58439.812569
423.43195,100,58439.812585
396.84567,100,58439.812601
554.8462,100,58439.812616
360.81418,100,58439.812632
350.26657,100,58439.812647
550.8581,100,58462.610992
405.78845,100,58462.611064
375.39526,100,58462.611076
348.79095,100,58462.611085
340.0298,100,58462.611093
362.77753,100,58462.611101
461.8202,100,58462.611109
355.03024,100,58462.611117
381.4902,100,58475.34837
323.21744,100,58475.348442
321.75226,100,58475.348454
473.98407,100,58475.348463
373.99655,100,58475.348471
361.34967,100,58475.348479
359.19888,100,58475.348487
523.11456,100,58475.348495
400.86533,100,58498.512035
306.3106,100,58498.512122
363.50186,100,58498.512143
351.5295,100,58498.512158
545.52856,100,58498.512172
427.20642,100,58498.512187
306.78436,100,58498.5122
375.89786,100,58498.512214
370.5538,100,58522.510649
366.25363,100,58522.510739
368.62317,100,58522.510762
355.10266,100,58522.51078
509.68866,100,58522.510796
588.49457,100,58522.510812
449.71756,100,58522.510828
380.3476,100,58522.510843
344.3097,100,58536.403827
513.68384,100,58536.403898
391.65982,100,58536.40391
360.2081,100,58536.403919
296.9089,100,58536.403927
329.3776,100,58536.403935
273.48288,100,58536.403943
289.1688,100,58536.403951
452.46378,100,58560.682157
355.6667,100,58560.682227
349.11346,100,58560.682239
340.88486,100,58560.682248
303.77582,100,58560.682256
351.34317,100,58560.682265
351.32062,100,58560.682273
389.32077,100,58560.682281
454.11328,100,58574.549212
310.11588,100,58574.549281
402.4351,100,58574.549293
363.92352,100,58574.549302
344.9598,100,58574.54931
337.42416,100,58574.549318
449.9968,100,58574.549326
449.64612,100,58574.549334
385.83167,100,58596.696667
381.22232,100,58596.696741
378.07175,100,58596.696754
391.8977,100,58596.696762
380.58722,100,58596.696771
324.2194,100,58596.696779
363.5742,100,58596.696787
474.23712,100,58596.696795
358.06293,100,58609.578287
602.42065,100,58609.578356
352.76263,100,58609.578368
568.86676,100,58609.578382
331.83728,100,58609.578391
517.1376,100,58609.578399
394.9215,100,58609.578407
329.9949,100,58609.578416
375.017,100,58633.27811
359.96967,100,58633.278201
546.6289,100,58633.278223
384.71375,100,58633.278239
551.393,100,58633.278254
552.6254,100,58633.27827
399.75177,100,58633.278284
353.2994,100,58633.2783
338.61102,100,58646.984237
306.16882,100,58646.98431
375.22632,100,58646.984321
381.17697,100,58646.98433
366.15683,100,58646.984338
303.5591,100,58646.984346
369.6478,100,58646.984354
400.94684,100,58646.984362
303.59317,100,58669.542571
362.26358,100,58669.542663
493.12463,100,58669.542686
400.79614,100,58669.542701
350.0115,100,58669.542717
357.3794,100,58669.542732
396.15,100,58669.542748
539.7147,100,58669.542763
364.05298,100,58692.484581
370.77908,100,58692.484656
466.50775,100,58692.484668
376.4031,100,58692.484676
360.11646,100,58692.484684
382.26447,100,58692.484693
384.25534,100,58692.4847
366.86246,100,58692.484708
389.30685,100,58705.36423
377.17566,100,58705.364298
420.26355,100,58705.364309
376.75787,100,58705.364318
497.85345,100,58705.364326
548.29614,100,58705.364334
447.93167,100,58705.364342
369.67584,100,58705.36435
390.29822,100,58728.314653
389.2024,100,58728.314733
375.3573,100,58728.314746
383.76233,100,58728.314755
526.37976,100,58728.314763
325.58566,100,58728.314771
390.3923,100,58728.314779
554.7791,100,58728.314788
382.4187,100,58742.290926
354.03723,100,58742.291016
455.4276,100,58742.291039
450.1806,100,58742.291055
420.7507,100,58742.291071
402.31277,100,58742.291087
318.8239,100,58742.291102
379.25986,100,58742.291117
378.27917,100,58765.481384
436.68698,100,58765.481452
368.55432,100,58765.481464
394.83475,100,58765.481473
388.77914,100,58765.481481
352.7722,100,58765.481489
411.6751,100,58765.481497
482.0267,100,58765.481505
402.975,100,58779.273569
380.88687,100,58779.273642
375.70657,100,58779.273654
326.86102,100,58779.273664
374.43726,100,58779.273671
505.9485,100,58779.273679
393.63486,100,58779.273687
301.0356,100,58779.273695
380.2443,100,58801.888848
372.3454,100,58801.888914
331.51624,100,58801.888926
292.56702,100,58801.888935
384.30432,100,58801.888943
342.48312,100,58801.888951
349.55072,100,58801.888958
363.89368,100,58801.888966
399.21643,100,58825.334248
363.90604,100,58825.334322
363.90036,100,58825.334335
387.20355,100,58825.334344
387.945,100,58825.334352
494.55447,100,58825.334361
380.76495,100,58825.334369
388.17398,100,58825.334377
350.29843,100,58839.782021
370.44504,100,58839.782099
444.3165,100,58839.782111
470.02527,100,58839.78212
307.89682,100,58839.782128
366.88257,100,58839.782136
443.79593,100,58839.782145
457.23495,100,58839.782153
479.0122,100,58862.703719
488.45496,100,58862.703795
380.2088,100,58862.703807
369.75235,100,58862.703816
386.2462,100,58862.703825
391.8951,100,58862.703834
371.41107,100,58862.703843
407.9073,100,58862.703853
384.43744,100,58876.813202
498.09894,100,58876.813284
340.47592,100,58876.813304
359.5893,100,58876.813319
375.1264,100,58876.813333
287.61035,100,58876.813347
472.88376,100,58876.813361
367.3654,100,58876.813375
389.80112,100,58900.016921
335.71878,100,58900.017001
464.40805,100,58900.017025
503.75586,100,58900.017042
377.7465,100,58900.017058
375.8077,100,58900.017074
379.8341,100,58900.01709
341.02853,100,58900.017105
560.44226,100,58913.567736
381.13538,100,58913.567833
347.1509,100,58913.567856
375.8439,100,58913.567874
392.55722,100,58913.56789
347.7572,100,58913.567906
369.8649,100,58913.567922
354.21765,100,58913.567938
